Client,Bush,Well,Work,Date,Time,ДавЛевНас,ДавПравНас,ДавВыход,РасходЛевНас,РасходПравНас,РасходВыход,ТемпРецирк,ПлотРецирк,ОбъемВыход,РасходВоды,Плотность
,,,,,15:06:29,73.61,0.00,0.00,451.34,0.00,0.00,0.00,0.00,0.00,0.00,91.34
,,,,,15:06:32,500.00,0.00,0.00,451.34,0.00,0.00,0.00,0.00,0.00,0.00,91.34
,,,,,15:06:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:06:47,225.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:06:49,403.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:07:07,500.00,0.00,0.00,394.50,0.00,0.00,0.00,0.00,0.00,0.00,397.24
,,,,,15:07:07,0.00,0.00,0.00,394.50,0.00,0.00,0.00,0.00,0.00,0.00,397.24
,,,,,15:07:25,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.19
,,,,,15:07:31,158.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.19
,,,,,15:07:50,500.00,0.00,0.00,216.75,0.00,0.00,0.00,0.00,0.00,0.00,367.47
,,,,,15:07:51,167.95,0.00,0.00,216.75,0.00,0.00,0.00,0.00,0.00,0.00,367.47
,,,,,15:08:12,500.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,267.31
,,,,,15:08:15,500.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,267.31
,,,,,15:08:30,395.83,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,305.70
,,,,,15:08:35,332.83,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,305.70
,,,,,15:08:49,419.86,0.00,0.00,327.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:08:56,0.00,0.00,0.00,327.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:09:03,500.00,0.00,0.00,454.67,0.00,0.00,0.00,0.00,0.00,0.00,326.42
,,,,,15:09:11,182.15,0.00,0.00,187.61,0.00,0.00,0.00,0.00,0.00,0.00,411.02
,,,,,15:09:16,408.01,0.00,0.00,187.61,0.00,0.00,0.00,0.00,0.00,0.00,411.02
,,,,,15:09:23,170.32,0.00,0.00,466.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:09:32,257.11,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,356.31
,,,,,15:09:34,500.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,356.31
,,,,,15:09:37,0.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,356.31
,,,,,15:09:44,272.62,0.00,0.00,486.90,0.00,0.00,0.00,0.00,0.00,0.00,228.15
,,,,,15:09:48,500.00,0.00,0.00,470.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:09:51,0.00,0.00,0.00,470.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:09:54,11.89,0.00,0.00,470.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:09:57,0.00,0.00,0.00,88.30,0.00,0.00,0.00,0.00,0.00,0.00,96.38
,,,,,15:10:03,0.00,0.00,0.00,229.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:10:05,0.00,0.00,0.00,229.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:10:08,99.44,0.00,0.00,229.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:10:11,9.62,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,60.83
,,,,,15:10:14,174.96,0.00,0.00,148.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:10:15,223.25,0.00,0.00,148.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:10:18,161.41,0.00,0.00,472.35,0.00,0.00,0.00,0.00,0.00,0.00,221.13
,,,,,15:10:21,500.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,402.75
,,,,,15:10:22,249.82,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,402.75
,,,,,15:10:24,120.79,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,331.93
,,,,,15:10:25,0.00,0.00,0.00,272.40,0.00,0.00,0.00,0.00,0.00,0.00,352.17
