Client,Bush,Well,Work,Data,Time,ДавПравНас,ДавВыход
,,,,,18:09:39,,
,,,,,18:09:40,,
,,,,,18:09:41,,
,,,,,18:09:42,,
,,,,,18:09:43,,
,,,,,18:09:44,,
,,,,,18:09:45,,
,,,,,18:09:46,,
,,,,,18:09:47,,
,,,,,18:09:48,,
,,,,,18:09:49,,
,,,,,18:09:50,,
,,,,,18:09:51,,
,,,,,18:09:52,,
,,,,,18:09:53,,
,,,,,18:09:54,,
,,,,,18:09:55,,
,,,,,18:09:56,,
,,,,,18:09:57,,
,,,,,18:09:58,,
,,,,,18:09:59,,
,,,,,18:10:00,,
,,,,,18:10:01,,
,,,,,18:10:02,,
,,,,,18:10:03,,
,,,,,18:10:04,,
,,,,,18:10:05,,
,,,,,18:10:06,,
,,,,,18:10:07,,
,,,,,18:10:08,,
,,,,,18:10:09,,
,,,,,18:10:10,,
,,,,,18:10:11,,
,,,,,18:10:12,,
,,,,,18:10:13,,
,,,,,18:10:14,,
,,,,,18:10:15,,
,,,,,18:10:16,,
,,,,,18:10:17,,
,,,,,18:10:18,,
,,,,,18:10:19,,
,,,,,18:10:20,,
,,,,,18:10:21,,
,,,,,18:10:22,,
,,,,,18:10:23,,
,,,,,18:10:24,,
,,,,,18:10:25,,
,,,,,18:10:26,,
,,,,,18:10:27,,
,,,,,18:10:28,,
,,,,,18:10:29,,
,,,,,18:10:30,,
,,,,,18:10:31,,
,,,,,18:10:32,,
,,,,,18:10:33,,
,,,,,18:10:34,,
,,,,,18:10:35,,
,,,,,18:10:36,,
,,,,,18:10:37,,
,,,,,18:10:38,,
,,,,,18:10:39,,
,,,,,18:10:40,,
,,,,,18:10:41,,
,,,,,18:10:42,,
,,,,,18:10:43,,
,,,,,18:10:44,,
,,,,,18:10:45,,
,,,,,18:10:46,,
,,,,,18:10:47,,
,,,,,18:10:48,,
,,,,,18:10:49,,
,,,,,18:10:50,,
,,,,,18:10:51,,
,,,,,18:10:52,,
,,,,,18:10:53,,
,,,,,18:10:54,,
,,,,,18:10:55,,
,,,,,18:10:56,,
,,,,,18:10:57,,
,,,,,18:10:58,,
,,,,,18:10:59,,
,,,,,18:11:00,,
,,,,,18:11:01,,
,,,,,18:11:02,,
,,,,,18:11:03,,
,,,,,18:11:04,,
,,,,,18:11:05,,
,,,,,18:11:06,,
,,,,,18:11:07,,
,,,,,18:11:08,,
,,,,,18:11:09,,
,,,,,18:11:10,,
,,,,,18:11:11,,
,,,,,18:11:12,,
,,,,,18:11:13,,
,,,,,18:11:14,,
,,,,,18:11:15,,
,,,,,18:11:16,,
,,,,,18:11:17,,
,,,,,18:11:18,,
,,,,,18:11:19,,
,,,,,18:11:20,,
,,,,,18:11:21,,
,,,,,18:11:22,,
,,,,,18:11:23,,
,,,,,18:11:24,,
,,,,,18:11:25,,
,,,,,18:11:26,,
,,,,,18:11:27,,
,,,,,18:11:28,,
,,,,,18:11:29,,
,,,,,18:11:30,,
,,,,,18:11:31,,
,,,,,18:11:32,,
,,,,,18:11:33,,
,,,,,18:11:34,,
,,,,,18:11:35,,
,,,,,18:11:36,,
,,,,,18:11:37,,
,,,,,18:11:38,,
,,,,,18:11:39,,
,,,,,18:11:40,,
,,,,,18:11:41,,
,,,,,18:11:42,,
,,,,,18:11:43,,
,,,,,18:11:44,,
,,,,,18:11:45,,
,,,,,18:11:46,,
,,,,,18:11:47,,
,,,,,18:11:48,,
,,,,,18:11:49,,
,,,,,18:11:50,,
,,,,,18:11:51,,
,,,,,18:11:52,,
,,,,,18:11:53,,
,,,,,18:11:54,,
,,,,,18:11:55,,
,,,,,18:11:56,,
,,,,,18:11:57,,
,,,,,18:11:58,,
,,,,,18:11:59,,
,,,,,18:12:00,,
,,,,,18:12:01,,
,,,,,18:12:02,,
,,,,,18:12:03,,
,,,,,18:12:04,,
,,,,,18:12:05,,
,,,,,18:12:06,,
,,,,,18:12:07,,
,,,,,18:12:08,,
,,,,,18:12:09,,
,,,,,18:12:10,,
,,,,,18:12:11,,
,,,,,18:12:12,,
,,,,,18:12:13,,
,,,,,18:12:14,,
,,,,,18:12:15,,
,,,,,18:12:16,,
,,,,,18:12:17,,
,,,,,18:12:18,,
,,,,,18:12:19,,
,,,,,18:12:20,,
,,,,,18:12:21,,
,,,,,18:12:22,,
,,,,,18:12:23,,
,,,,,18:12:24,,
,,,,,18:12:25,,
,,,,,18:12:26,,
,,,,,18:12:27,,
,,,,,18:12:28,,
,,,,,18:12:29,,
,,,,,18:12:30,,
,,,,,18:12:31,,
,,,,,18:12:32,,
,,,,,18:12:33,,
,,,,,18:12:34,,
,,,,,18:12:35,,
,,,,,18:12:36,,
,,,,,18:12:37,,
,,,,,18:12:38,,
,,,,,18:12:39,,
,,,,,18:12:40,,
,,,,,18:12:41,,
,,,,,18:12:42,,
,,,,,18:12:43,,
,,,,,18:12:44,,
,,,,,18:12:45,,
,,,,,18:12:46,,
,,,,,18:12:47,,
,,,,,18:12:48,,
,,,,,18:12:49,,
,,,,,18:12:50,,
,,,,,18:12:51,,
,,,,,18:12:52,,
,,,,,18:12:53,,
,,,,,18:12:54,,
,,,,,18:12:55,,
,,,,,18:12:56,,
,,,,,18:12:57,,
,,,,,18:12:58,,
,,,,,18:12:59,,
,,,,,18:13:00,,
,,,,,18:13:01,,
,,,,,18:13:02,,
,,,,,18:13:03,,
,,,,,18:13:04,,
,,,,,18:13:05,,
,,,,,18:13:06,,
,,,,,18:13:07,,
,,,,,18:13:08,,
,,,,,18:13:09,,
,,,,,18:13:10,,
,,,,,18:13:11,,
,,,,,18:13:12,,
,,,,,18:13:13,,
,,,,,18:13:14,,
,,,,,18:13:15,,
,,,,,18:13:16,,
,,,,,18:13:17,,
,,,,,18:13:18,,
,,,,,18:13:19,,
,,,,,18:13:20,,
,,,,,18:13:21,,
,,,,,18:13:22,,
,,,,,18:13:23,,
,,,,,18:13:24,,
,,,,,18:13:25,,
,,,,,18:13:26,,
,,,,,18:13:27,,
,,,,,18:13:28,,
,,,,,18:13:29,,
,,,,,18:13:30,,
,,,,,18:13:31,,
,,,,,18:13:32,,
,,,,,18:13:33,,
,,,,,18:13:34,,
,,,,,18:13:35,,
,,,,,18:13:36,,
,,,,,18:13:37,,
,,,,,18:13:38,,
,,,,,18:13:39,,
,,,,,18:13:40,,
,,,,,18:13:41,,
,,,,,18:13:42,,
,,,,,18:13:43,,
,,,,,18:13:44,,
,,,,,18:13:45,,
,,,,,18:13:46,,
,,,,,18:13:47,,
,,,,,18:13:48,,
,,,,,18:13:49,,
,,,,,18:13:50,,
,,,,,18:13:51,,
,,,,,18:13:52,,
,,,,,18:13:53,,
,,,,,18:13:54,,
,,,,,18:13:55,,
,,,,,18:13:56,,
,,,,,18:13:57,,
,,,,,18:13:58,,
,,,,,18:13:59,,
,,,,,18:14:00,,
,,,,,18:14:01,,
,,,,,18:14:02,,
,,,,,18:14:03,,
,,,,,18:14:04,,
,,,,,18:14:05,,
,,,,,18:14:06,,
,,,,,18:14:07,,
,,,,,18:14:08,,
,,,,,18:14:09,,
,,,,,18:14:10,,
,,,,,18:14:11,,
,,,,,18:14:12,,
,,,,,18:14:13,,
,,,,,18:14:14,,
,,,,,18:14:15,,
,,,,,18:14:16,,
,,,,,18:14:17,,
,,,,,18:14:18,,
,,,,,18:14:19,,
,,,,,18:14:20,,
,,,,,18:14:21,,
,,,,,18:14:22,,
,,,,,18:14:23,,
,,,,,18:14:24,,
,,,,,18:14:25,,
,,,,,18:14:26,,
,,,,,18:14:27,,
,,,,,18:14:28,,
,,,,,18:14:29,,
,,,,,18:14:30,,
,,,,,18:14:31,,
,,,,,18:14:32,,
,,,,,18:14:33,,
,,,,,18:14:34,,
,,,,,18:14:35,,
,,,,,18:14:36,,
,,,,,18:14:37,,
,,,,,18:14:38,,
,,,,,18:14:39,,
,,,,,18:14:40,,
,,,,,18:14:41,,
,,,,,18:14:42,,
,,,,,18:14:43,,
,,,,,18:14:44,,
,,,,,18:14:45,,
,,,,,18:14:46,,
,,,,,18:14:47,,
,,,,,18:14:48,,
,,,,,18:14:49,,
,,,,,18:14:50,,
,,,,,18:14:51,,
,,,,,18:14:52,,
,,,,,18:14:53,,
,,,,,18:14:54,,
,,,,,18:14:55,,
,,,,,18:14:56,,
,,,,,18:14:57,,
,,,,,18:14:58,,
,,,,,18:14:59,,
,,,,,18:15:00,,
,,,,,18:15:01,,
,,,,,18:15:02,,
,,,,,18:15:03,,
,,,,,18:15:04,,
,,,,,18:15:05,,
,,,,,18:15:06,,
,,,,,18:15:07,,
,,,,,18:15:08,,
,,,,,18:15:09,,
,,,,,18:15:10,,
,,,,,18:15:11,,
,,,,,18:15:12,,
,,,,,18:15:13,,
,,,,,18:15:14,,
,,,,,18:15:15,,
,,,,,18:15:16,,
,,,,,18:15:17,,
,,,,,18:15:18,,
,,,,,18:15:19,,
,,,,,18:15:20,,
,,,,,18:15:21,,
,,,,,18:15:22,,
,,,,,18:15:23,,
,,,,,18:15:24,,
,,,,,18:15:25,,
,,,,,18:15:26,,
,,,,,18:15:27,,
,,,,,18:15:28,,
,,,,,18:15:29,,
,,,,,18:15:30,,
,,,,,18:15:31,,
,,,,,18:15:32,,
,,,,,18:15:33,,
,,,,,18:15:34,,
,,,,,18:15:35,,
,,,,,18:15:36,,
,,,,,18:15:37,,
,,,,,18:15:38,,
,,,,,18:15:39,,
,,,,,18:15:40,,
,,,,,18:15:41,,
,,,,,18:15:42,,
,,,,,18:15:43,,
,,,,,18:15:44,,
,,,,,18:15:45,,
,,,,,18:15:46,,
,,,,,18:15:47,,
,,,,,18:15:48,,
,,,,,18:15:49,,
,,,,,18:15:50,,
,,,,,18:15:51,,
,,,,,18:15:52,,
,,,,,18:15:53,,
,,,,,18:15:54,,
,,,,,18:15:55,,
,,,,,18:15:56,,
,,,,,18:15:57,,
,,,,,18:15:58,,
,,,,,18:15:59,,
,,,,,18:16:00,,
,,,,,18:16:01,,
,,,,,18:16:02,,
,,,,,18:16:03,,
,,,,,18:16:04,,
,,,,,18:16:05,,
,,,,,18:16:06,,
,,,,,18:16:07,,
,,,,,18:16:08,,
,,,,,18:16:09,,
,,,,,18:16:10,,
,,,,,18:16:11,,
,,,,,18:16:12,,
,,,,,18:16:13,,
,,,,,18:16:14,,
,,,,,18:16:15,,
,,,,,18:16:16,,
,,,,,18:16:17,,
,,,,,18:16:18,,
,,,,,18:16:19,,
,,,,,18:16:20,,
,,,,,18:16:21,,
,,,,,18:16:22,,
,,,,,18:16:23,,
,,,,,18:16:24,,
,,,,,18:16:25,,
,,,,,18:16:26,,
,,,,,18:16:27,,
,,,,,18:16:28,,
,,,,,18:16:29,,
,,,,,18:16:30,,
,,,,,18:16:31,,
,,,,,18:16:32,,
,,,,,18:16:33,,
,,,,,18:16:34,,
,,,,,18:16:35,,
,,,,,18:16:36,,
,,,,,18:16:37,,
,,,,,18:16:38,,
,,,,,18:16:39,,
,,,,,18:16:40,,
,,,,,18:16:41,,
,,,,,18:16:42,,
,,,,,18:16:43,,
,,,,,18:16:44,,
,,,,,18:16:45,,
,,,,,18:16:46,,
,,,,,18:16:47,,
,,,,,18:16:48,,
,,,,,18:16:49,,
,,,,,18:16:50,,
,,,,,18:16:51,,
,,,,,18:16:52,,
,,,,,18:16:53,,
,,,,,18:16:54,,
,,,,,18:16:55,,
,,,,,18:16:56,,
,,,,,18:16:57,,
,,,,,18:16:58,,
,,,,,18:16:59,,
,,,,,18:17:00,,
,,,,,18:17:01,,
,,,,,18:17:02,,
,,,,,18:17:03,,
,,,,,18:17:04,,
,,,,,18:17:05,,
,,,,,18:17:06,,
,,,,,18:17:07,,
,,,,,18:17:08,,
,,,,,18:17:09,,
,,,,,18:17:10,,
,,,,,18:17:11,,
,,,,,18:17:12,,
,,,,,18:17:13,,
,,,,,18:17:14,,
,,,,,18:17:15,,
,,,,,18:17:16,,
,,,,,18:17:17,,
,,,,,18:17:18,,
,,,,,18:17:19,,
,,,,,18:17:20,,
,,,,,18:17:21,,
,,,,,18:17:22,,
,,,,,18:17:23,,
,,,,,18:17:24,,
,,,,,18:17:25,,
,,,,,18:17:26,,
,,,,,18:17:27,,
,,,,,18:17:28,,
,,,,,18:17:29,,
,,,,,18:17:30,,
,,,,,18:17:31,,
,,,,,18:17:32,,
,,,,,18:17:33,,
,,,,,18:17:34,,
,,,,,18:17:35,,
,,,,,18:17:36,,
,,,,,18:17:37,,
,,,,,18:17:38,,
,,,,,18:17:39,,
,,,,,18:17:40,,
,,,,,18:17:41,,
,,,,,18:17:42,,
,,,,,18:17:43,,
,,,,,18:17:44,,
,,,,,18:17:45,,
,,,,,18:17:46,,
,,,,,18:17:47,,
,,,,,18:17:48,,
,,,,,18:17:49,,
,,,,,18:17:50,,
,,,,,18:17:51,,
,,,,,18:17:52,,
,,,,,18:17:53,,
,,,,,18:17:54,,
,,,,,18:17:55,,
,,,,,18:17:56,,
,,,,,18:17:57,,
,,,,,18:17:58,,
,,,,,18:17:59,,
,,,,,18:18:00,,
,,,,,18:18:01,,
,,,,,18:18:02,,
,,,,,18:18:03,,
