Client,Bush,Well,Work,Date,Time,ДавПравНас,РасходЛевНас,ТемпРецирк,РасходВоды,Плотность
,,,,,17:42:39,175.29,190.04,0.00,0.00,500.00
,,,,,17:42:40,488.73,500.00,500.00,500.00,500.00
,,,,,17:42:41,383.97,500.00,408.65,500.00,0.00
,,,,,17:42:42,500.00,500.00,145.47,148.03,500.00
,,,,,17:42:43,395.89,455.18,0.00,37.32,158.44
,,,,,17:42:44,476.97,500.00,11.38,217.01,375.46
,,,,,17:42:45,500.00,452.92,0.00,500.00,152.25
,,,,,17:42:47,500.00,500.00,0.00,500.00,147.49
,,,,,17:42:48,0.00,247.87,174.00,142.92,476.04
,,,,,17:42:49,500.00,500.00,0.00,17.43,0.00
,,,,,17:42:51,130.75,500.00,0.00,9.14,0.00
,,,,,17:42:52,500.00,500.00,458.73,421.39,500.00
,,,,,17:42:52,0.00,0.00,176.57,139.86,127.32
,,,,,17:42:54,0.00,285.38,261.97,373.31,77.77
,,,,,17:42:55,64.11,500.00,500.00,0.00,500.00
,,,,,17:42:56,0.00,10.89,227.48,269.46,381.83
,,,,,17:42:58,308.79,3.10,112.17,0.00,500.00
,,,,,17:42:59,0.00,0.00,0.00,500.00,79.33
,,,,,17:43:00,0.00,0.00,0.00,0.00,500.00
,,,,,17:43:01,500.00,289.70,276.70,276.17,500.00
,,,,,17:43:02,500.00,0.00,255.11,441.31,500.00
,,,,,17:43:03,500.00,500.00,429.55,500.00,500.00
,,,,,17:43:05,315.19,169.15,154.39,29.82,0.00
,,,,,17:43:07,0.00,0.00,61.52,500.00,500.00
,,,,,17:43:08,66.55,0.00,0.00,389.37,500.00
,,,,,17:43:09,177.39,0.00,42.15,0.00,500.00
,,,,,17:43:10,389.49,172.53,236.87,219.45,42.42
,,,,,17:43:11,154.02,500.00,64.98,0.00,500.00
,,,,,17:43:13,500.00,0.00,500.00,0.00,142.82
,,,,,17:43:14,280.86,0.00,500.00,263.32,0.00
,,,,,17:43:16,0.00,386.70,388.00,9.93,404.96
,,,,,17:43:17,0.00,500.00,500.00,400.29,500.00
,,,,,17:43:18,0.00,0.00,0.00,204.31,0.00
,,,,,17:43:19,463.05,500.00,77.57,336.51,500.00
,,,,,17:43:20,500.00,0.00,400.35,0.00,123.36
,,,,,17:43:22,500.00,0.00,500.00,500.00,298.04
,,,,,17:43:23,418.38,0.00,488.43,500.00,341.96
,,,,,17:43:24,0.00,225.68,0.00,409.31,500.00
,,,,,17:43:25,0.00,500.00,0.00,500.00,434.76
,,,,,17:43:26,500.00,252.08,244.96,184.47,500.00
,,,,,17:43:28,500.00,500.00,500.00,90.10,0.00
,,,,,17:43:29,0.00,209.47,411.24,0.00,500.00
,,,,,17:43:31,500.00,500.00,500.00,500.00,121.98
,,,,,17:43:32,500.00,0.00,79.22,362.76,500.00
,,,,,17:43:33,104.28,44.99,125.91,170.40,19.94
,,,,,17:43:35,191.32,38.07,155.44,0.00,284.26
,,,,,17:43:36,0.00,83.79,478.18,334.85,500.00
,,,,,17:43:37,500.00,0.00,0.00,171.17,500.00
,,,,,17:43:39,0.00,0.00,411.11,359.19,341.26
,,,,,17:43:40,0.00,0.00,268.61,308.94,18.24
,,,,,17:43:41,500.00,143.64,0.00,280.53,176.39
,,,,,17:43:42,236.38,500.00,0.00,427.83,218.43
,,,,,17:43:43,339.88,292.15,100.34,259.13,500.00
,,,,,17:43:45,285.96,0.00,90.09,249.04,0.00
,,,,,17:43:46,394.36,139.60,139.18,500.00,206.42
,,,,,17:43:48,231.89,500.00,0.00,57.79,0.00
,,,,,17:43:49,500.00,500.00,471.41,86.30,0.00
,,,,,17:43:50,500.00,306.58,384.55,500.00,0.00
,,,,,17:43:52,0.00,500.00,344.08,117.05,0.00
,,,,,17:43:54,0.35,63.84,153.81,0.00,449.68
,,,,,17:43:55,500.00,0.00,235.88,405.59,0.00
,,,,,17:43:56,0.00,500.00,21.17,500.00,0.00
,,,,,17:43:58,500.00,0.00,500.00,500.00,456.14
,,,,,17:44:00,350.89,0.00,321.17,0.00,500.00
,,,,,17:44:01,500.00,103.76,5.87,333.01,309.74
,,,,,17:44:02,480.26,260.79,36.20,0.00,262.00
,,,,,17:44:02,22.63,0.00,500.00,500.00,76.45
,,,,,17:44:04,468.54,209.10,0.00,318.28,0.00
,,,,,17:44:06,500.00,500.00,203.42,0.00,0.00
,,,,,17:44:08,140.34,250.63,63.66,206.82,500.00
,,,,,17:44:09,462.17,393.06,203.27,191.94,414.14
,,,,,17:44:10,0.00,442.12,329.56,500.00,420.60
,,,,,17:44:10,343.85,292.70,500.00,346.48,450.20
