Client,Bush,Well,Work,Date,Time,ТемпРецирк,ПлотРецирк,ОбъемВыход,РасходВоды,Плотность
,,,,,13:57:10,50.00,313.92,100.00,29.22,0.00
,,,,,13:57:11,42.69,67.52,100.00,50.00,0.00
,,,,,13:57:12,35.43,92.21,0.00,0.00,0.34
,,,,,13:57:14,0.00,0.00,100.00,9.91,0.81
,,,,,13:57:15,20.75,450.00,100.00,10.38,0.00
,,,,,13:57:16,0.00,0.00,100.00,12.35,3.00
,,,,,13:57:18,50.00,0.00,100.00,32.44,1.79
,,,,,13:57:19,0.00,0.00,0.00,5.36,0.00
,,,,,13:57:20,50.00,0.00,100.00,10.27,2.48
,,,,,13:57:23,0.66,99.01,100.00,26.29,0.00
,,,,,13:57:24,34.27,0.00,100.00,50.00,2.66
,,,,,13:57:25,50.00,444.94,100.00,1.63,3.00
,,,,,13:57:26,17.76,217.97,100.00,0.00,3.00
,,,,,13:57:28,0.00,145.14,86.77,50.00,0.00
,,,,,13:57:30,38.29,102.62,42.70,0.00,0.00
,,,,,13:57:31,22.62,427.20,77.60,40.13,3.00
,,,,,13:57:33,3.51,0.00,0.00,42.99,3.00
,,,,,13:57:34,10.91,450.00,100.00,43.77,0.06
,,,,,13:57:35,0.00,450.00,0.00,38.27,1.38
,,,,,13:57:36,50.00,134.39,100.00,8.84,3.00
,,,,,13:57:38,50.00,450.00,100.00,2.94,0.00
,,,,,13:57:39,35.69,0.00,1.66,0.00,3.00
,,,,,13:57:41,0.00,0.00,100.00,0.00,1.16
,,,,,13:57:43,0.00,31.35,100.00,0.00,3.00
,,,,,13:57:44,23.53,263.39,100.00,0.00,0.00
,,,,,13:57:45,13.53,450.00,100.00,10.03,2.83
,,,,,13:57:47,31.25,450.00,100.00,50.00,3.00
,,,,,13:57:48,20.50,204.65,100.00,0.00,0.35
,,,,,13:57:49,11.28,99.11,9.46,14.70,2.96
,,,,,13:57:51,0.00,0.00,100.00,48.69,1.48
,,,,,13:57:52,7.77,61.06,0.00,0.28,3.00
,,,,,13:57:54,0.00,450.00,100.00,0.00,0.00
,,,,,13:57:55,50.00,125.79,100.00,50.00,0.00
,,,,,13:58:30,27.06,243.25,100.00,0.00,0.00
,,,,,13:58:31,27.06,243.25,100.00,0.00,0.00
,,,,,13:58:33,32.80,450.00,0.00,47.58,1.06
,,,,,13:58:34,12.70,0.00,40.17,32.96,0.84
,,,,,13:58:35,50.00,0.00,0.00,25.37,2.58
,,,,,13:58:38,50.00,33.22,0.00,50.00,0.09
,,,,,13:58:38,50.00,33.22,0.00,50.00,0.09
,,,,,13:58:39,50.00,29.69,0.00,46.42,0.00
,,,,,13:58:43,50.00,11.49,100.00,50.00,3.00
,,,,,13:58:43,50.00,11.49,100.00,50.00,3.00
,,,,,13:58:45,11.55,257.34,100.00,16.57,1.41
,,,,,13:58:46,17.60,0.00,0.00,46.92,1.92
,,,,,13:58:47,0.00,0.00,100.00,50.00,3.00
,,,,,13:58:49,0.00,450.00,77.69,17.15,2.48
,,,,,13:58:50,42.17,332.16,65.41,50.00,3.00
,,,,,13:58:52,50.00,0.00,0.00,46.22,1.92
,,,,,13:58:55,0.00,181.43,0.00,32.40,3.00
,,,,,13:58:56,31.20,442.42,0.00,50.00,0.00
,,,,,13:58:58,37.93,450.00,100.00,50.00,0.73
,,,,,13:59:01,14.81,380.22,0.00,25.16,0.00
,,,,,13:59:02,50.00,0.00,100.00,22.87,3.00
,,,,,13:59:03,27.35,450.00,0.00,41.41,0.00
,,,,,13:59:07,39.94,274.37,0.00,49.68,0.00
,,,,,13:59:08,42.18,450.00,0.00,0.00,3.00
,,,,,13:59:10,25.92,326.92,100.00,0.56,3.00
,,,,,13:59:11,33.86,0.00,33.70,0.00,2.18
,,,,,13:59:13,0.00,450.00,0.00,49.54,0.66
,,,,,13:59:16,50.00,389.51,0.00,50.00,3.00
,,,,,13:59:17,0.00,369.90,0.00,28.79,0.00
,,,,,13:59:20,29.00,49.39,100.00,0.00,0.50
,,,,,13:59:21,49.22,0.00,87.87,50.00,2.75
,,,,,13:59:22,50.00,13.07,43.84,44.72,0.00
,,,,,13:59:24,29.74,228.91,17.46,0.00,0.00
,,,,,13:59:25,35.52,122.87,100.00,0.00,0.00
,,,,,13:59:27,15.66,0.00,100.00,0.00,3.00
,,,,,13:59:29,39.64,450.00,100.00,37.75,0.27
,,,,,13:59:30,37.12,0.00,62.24,0.00,3.00
,,,,,13:59:33,0.00,450.00,0.00,50.00,1.37
,,,,,13:59:34,2.33,0.00,100.00,32.04,2.60
,,,,,13:59:35,50.00,388.32,0.00,0.00,0.00
,,,,,13:59:38,31.52,0.00,0.00,38.01,0.05
,,,,,14:00:37,37.98,285.46,13.85,12.20,0.00
,,,,,14:01:37,0.00,450.00,0.00,5.14,2.63
,,,,,14:02:37,18.60,135.81,100.00,50.00,0.00
,,,,,14:03:37,2.92,136.45,0.00,50.00,0.71
,,,,,14:04:37,49.94,0.00,0.00,33.97,3.00
,,,,,14:05:37,29.49,0.00,37.65,29.48,3.00
,,,,,14:06:37,34.58,0.00,100.00,0.34,3.00
,,,,,14:07:37,0.00,450.00,116.28,50.00,0.00
,,,,,14:08:09,50.00,258.69,100.00,42.63,0.00
,,,,,14:08:11,0.00,0.00,95.96,50.00,0.00
,,,,,14:08:15,50.00,96.44,10.78,50.00,3.00
,,,,,14:08:16,0.00,0.00,0.00,0.00,3.00
,,,,,14:08:19,0.00,124.20,100.00,36.56,3.00
,,,,,14:08:21,0.00,296.69,100.00,25.90,2.17
,,,,,14:08:24,50.00,0.00,100.00,50.00,1.19
,,,,,14:08:27,2.43,0.00,0.00,2.94,3.00
,,,,,14:08:27,2.43,0.00,0.00,2.94,3.00
,,,,,14:08:28,12.23,0.00,64.25,26.42,3.00
,,,,,14:08:30,0.00,92.85,100.00,0.00,3.00
,,,,,14:08:32,33.23,0.00,0.00,33.51,1.68
,,,,,14:08:35,50.00,35.00,83.07,46.83,0.00
,,,,,14:08:36,0.00,450.00,0.00,19.31,3.00
,,,,,14:08:39,9.47,448.18,100.00,9.42,0.23
,,,,,14:08:41,50.00,0.00,100.00,37.05,0.00
,,,,,14:08:43,4.25,0.00,100.00,0.00,1.45
,,,,,14:08:45,20.17,450.00,85.53,4.31,3.00
,,,,,14:08:48,3.56,224.23,0.00,36.18,2.73
,,,,,14:08:49,36.46,310.84,21.49,5.90,3.00
,,,,,14:08:51,38.72,0.00,66.48,50.00,3.00
,,,,,14:08:55,32.48,450.00,0.00,0.00,3.00
,,,,,14:08:57,0.00,56.16,100.00,50.00,3.00
,,,,,14:09:00,8.50,299.31,90.66,14.03,0.15
,,,,,14:09:02,40.51,450.00,100.00,50.00,3.00
,,,,,14:09:05,0.00,450.00,74.53,50.00,0.33
,,,,,14:09:06,44.51,0.00,0.00,0.00,0.00
,,,,,14:09:11,5.97,392.25,72.51,1.40,1.02
,,,,,14:09:12,50.00,450.00,100.00,50.00,0.00
,,,,,14:09:13,19.44,274.64,100.00,50.00,0.85
,,,,,14:09:18,50.00,450.00,100.00,0.00,3.00
,,,,,14:09:19,21.46,296.11,13.15,0.00,0.74
,,,,,14:09:21,50.00,450.00,79.99,37.11,3.00
,,,,,14:09:22,50.00,450.00,100.00,37.11,3.00
,,,,,14:09:26,50.00,450.00,75.44,50.00,0.63
,,,,,14:09:27,45.26,207.24,0.00,34.61,2.30
,,,,,14:09:31,0.00,96.98,100.00,25.57,2.18
,,,,,14:09:32,0.00,0.00,100.00,50.00,3.00
,,,,,14:09:33,0.00,0.00,100.00,50.00,3.00
,,,,,14:09:33,12.65,239.97,9.40,50.00,0.66
,,,,,14:09:38,50.00,0.00,0.00,50.00,2.03
,,,,,14:10:38,50.00,450.00,42.53,50.00,0.00
,,,,,14:11:13,33.81,243.99,0.00,50.00,1.18
,,,,,14:11:16,17.11,138.73,100.00,12.59,0.89
,,,,,14:11:17,50.00,315.45,0.00,0.00,0.00
,,,,,14:11:22,47.95,450.00,77.63,14.74,3.00
,,,,,14:11:26,33.82,0.00,100.00,0.00,3.00
,,,,,14:11:29,50.00,21.25,50.79,0.00,0.00
,,,,,14:11:33,0.00,182.29,0.00,46.54,0.00
,,,,,14:11:34,0.00,182.29,0.00,46.54,0.00
,,,,,14:11:36,0.00,450.00,100.00,50.00,3.00
,,,,,14:11:40,16.32,215.95,82.39,8.29,3.00
,,,,,14:11:42,0.00,422.36,0.00,1.90,0.25
,,,,,14:11:45,50.00,0.00,100.00,50.00,3.00
,,,,,14:11:47,0.00,0.00,99.62,10.77,0.00
,,,,,14:11:51,11.92,450.00,100.00,0.97,2.82
,,,,,14:11:55,50.00,101.98,0.00,50.00,0.15
,,,,,14:11:59,9.03,154.23,100.00,50.00,3.00
,,,,,14:12:02,0.00,450.00,100.00,50.00,0.37
,,,,,14:12:04,50.00,0.00,51.59,1.90,1.81
,,,,,14:12:07,50.00,284.42,100.00,50.00,3.00
,,,,,14:12:10,0.00,394.76,0.00,12.37,0.00
,,,,,14:12:12,4.98,0.00,100.00,33.10,3.00
,,,,,14:12:17,39.30,33.44,82.95,23.35,3.00
,,,,,14:12:18,39.30,33.44,82.95,23.35,3.00
,,,,,14:12:21,50.00,0.00,96.93,47.82,2.54
,,,,,14:12:24,0.00,176.17,100.00,0.00,0.00
,,,,,14:12:27,6.93,261.38,0.00,44.11,0.54
,,,,,14:12:33,50.00,0.00,100.00,50.00,1.69
,,,,,14:12:36,0.00,450.00,100.00,40.47,0.00
,,,,,14:12:38,0.00,450.00,100.00,40.47,0.00
,,,,,14:12:41,0.00,202.96,100.00,0.00,2.41
,,,,,14:12:46,10.00,0.00,100.00,50.00,0.00
,,,,,14:12:47,38.78,0.00,100.00,46.57,1.98
,,,,,14:12:50,0.00,450.00,1.05,0.00,0.00
,,,,,14:12:52,44.96,174.32,100.00,37.55,0.10
,,,,,14:12:55,0.00,0.00,100.00,50.00,0.00
,,,,,14:12:56,0.00,450.00,91.15,50.00,1.06
,,,,,14:12:56,0.00,450.00,91.15,50.00,1.06
,,,,,14:12:57,2.30,109.82,21.43,50.00,2.20
,,,,,14:12:59,0.00,153.65,100.00,34.85,0.00
,,,,,14:13:40,6.13,75.15,67.82,28.05,0.21
,,,,,14:14:39,0.00,98.64,100.00,9.72,2.46
,,,,,14:15:38,49.96,39.52,100.00,5.52,2.85
,,,,,14:16:38,2.00,0.00,0.00,40.54,2.19
,,,,,14:17:38,6.73,0.00,18.31,0.00,2.12
,,,,,14:18:38,14.12,0.00,224.41,24.59,3.00
,,,,,14:19:39,21.09,392.88,280.57,0.00,3.00
,,,,,14:20:38,0.71,386.02,0.00,3.60,2.97
,,,,,14:21:38,27.48,0.00,47.96,14.18,2.63
,,,,,14:22:39,50.00,442.77,123.87,11.23,0.00
,,,,,14:23:39,7.05,436.52,149.76,19.16,2.28
,,,,,14:24:39,0.00,450.00,100.00,50.00,0.00
,,,,,14:25:38,50.00,0.00,345.39,3.80,0.00
,,,,,14:26:38,0.00,0.00,107.80,40.03,3.00
,,,,,14:27:39,11.45,450.00,100.00,38.47,2.72
,,,,,14:28:39,50.00,0.00,59.89,0.00,3.00
,,,,,14:29:39,50.00,428.36,100.00,50.00,3.00
,,,,,14:30:38,50.00,252.36,0.15,10.86,2.43
,,,,,14:31:38,46.99,0.00,0.00,50.00,2.77
,,,,,14:32:38,34.67,433.18,79.74,50.00,3.00
,,,,,14:33:38,50.00,429.69,100.00,50.00,3.00
,,,,,14:34:39,40.30,126.09,0.00,5.46,2.22
,,,,,14:35:02,5.95,450.00,138.65,37.34,0.00
,,,,,14:35:06,39.30,328.77,296.96,0.00,1.78
,,,,,14:35:08,44.04,125.83,245.63,46.57,2.64
,,,,,14:35:12,0.00,250.27,283.42,37.81,3.00
,,,,,14:35:20,14.60,264.99,0.00,0.00,3.00
,,,,,14:35:24,1.08,201.25,0.00,50.00,2.11
,,,,,14:35:27,0.00,118.83,100.00,0.00,1.58
,,,,,14:35:30,10.80,235.60,193.42,13.35,2.98
,,,,,14:35:34,48.19,415.68,0.00,0.00,2.79
,,,,,14:35:37,4.38,162.08,100.00,0.00,3.00
,,,,,14:35:41,4.49,0.00,240.83,0.00,3.00
,,,,,14:35:44,8.92,450.00,431.06,0.00,3.00
,,,,,14:35:51,15.50,449.78,15.53,27.71,1.43
,,,,,14:35:52,15.50,449.78,15.53,45.63,1.43
,,,,,14:35:58,0.00,347.52,0.00,0.00,0.35
,,,,,14:35:59,0.00,347.52,0.00,0.00,0.35
,,,,,14:36:02,14.96,445.98,0.00,50.00,2.47
,,,,,14:36:06,50.00,450.00,100.00,0.00,2.94
,,,,,14:36:09,50.00,450.00,100.00,31.08,3.00
,,,,,14:36:11,30.85,48.57,77.38,50.00,1.48
,,,,,14:36:14,50.00,0.00,0.00,0.00,3.00
,,,,,14:36:16,34.91,0.00,0.00,40.41,3.00
,,,,,14:36:18,37.21,450.00,254.75,0.00,2.75
,,,,,14:36:19,37.21,450.00,254.75,0.00,2.75
,,,,,14:36:20,20.54,450.00,450.00,43.34,0.00
,,,,,14:36:39,48.25,450.00,450.00,50.00,3.00
,,,,,14:36:45,22.10,253.38,100.00,13.92,0.00
,,,,,14:36:55,0.00,275.80,0.00,35.07,0.36
,,,,,14:36:57,2.63,0.00,39.43,25.31,1.11
,,,,,14:37:04,35.82,0.00,0.00,50.00,3.00
,,,,,14:37:12,0.00,431.14,421.98,31.76,2.99
,,,,,14:37:13,0.00,431.14,421.98,31.76,2.99
,,,,,14:37:24,0.00,81.27,0.00,0.00,0.00
,,,,,14:37:32,47.22,394.99,50.07,50.00,2.74
,,,,,14:37:36,47.22,394.99,50.07,50.00,2.74
,,,,,14:37:48,11.87,450.00,0.00,50.00,1.25
,,,,,14:37:58,0.00,450.00,285.85,0.00,0.26
,,,,,14:38:09,0.00,0.00,426.75,0.00,2.65
,,,,,14:38:12,6.14,450.00,100.00,26.06,3.00
,,,,,14:38:13,6.14,450.00,100.00,26.06,3.00
,,,,,14:38:19,39.28,450.00,0.00,50.00,0.00
,,,,,14:38:23,9.39,82.92,100.00,0.00,3.00
,,,,,14:38:25,50.00,89.11,0.00,25.16,2.63
,,,,,14:38:28,30.10,51.14,308.10,50.00,1.52
,,,,,14:38:30,50.00,150.76,75.23,26.57,0.02
,,,,,14:38:33,50.00,214.77,96.60,8.59,1.95
,,,,,14:38:45,36.91,450.00,100.00,0.00,0.65
,,,,,14:38:49,28.29,0.00,30.74,50.00,1.41
,,,,,14:38:50,28.29,0.00,30.74,50.00,1.41
,,,,,14:38:57,27.71,73.43,100.00,41.35,2.07
,,,,,14:38:58,27.71,73.43,100.00,41.35,2.07
,,,,,14:39:02,31.24,371.03,0.00,33.44,0.91
,,,,,14:39:06,50.00,0.00,100.00,4.87,0.26
,,,,,14:39:09,20.48,450.00,24.11,50.00,0.00
,,,,,14:39:11,20.48,450.00,24.11,50.00,0.00
,,,,,14:39:16,0.00,0.00,59.81,27.88,0.45
,,,,,14:39:19,39.89,51.93,100.00,27.88,0.45
,,,,,14:39:23,3.08,325.64,0.00,20.05,0.00
,,,,,14:39:25,3.08,325.64,0.00,20.05,0.00
,,,,,14:39:32,8.40,381.59,0.00,0.00,0.00
,,,,,14:39:33,19.16,0.00,100.00,50.00,3.00
,,,,,14:39:36,32.51,224.95,0.00,50.00,1.98
,,,,,14:39:37,50.00,0.00,83.54,50.00,1.98
,,,,,14:39:38,35.27,119.06,0.00,50.00,1.21
,,,,,14:39:41,0.00,0.00,0.00,9.95,2.86
,,,,,14:39:44,2.38,353.11,167.24,50.00,3.00
,,,,,14:40:39,16.26,0.00,0.00,15.81,3.00
,,,,,14:41:40,19.74,450.00,79.19,50.00,3.00
,,,,,14:42:39,45.98,34.31,36.58,0.00,3.00
,,,,,14:43:40,37.25,355.86,100.00,50.00,0.46
,,,,,14:44:40,50.00,0.00,100.00,26.18,2.87
,,,,,14:45:40,29.67,0.00,0.00,40.21,3.00
,,,,,14:46:40,45.80,288.26,314.02,50.00,0.32
,,,,,14:47:40,36.46,160.83,183.59,50.00,1.34
,,,,,14:48:40,5.44,450.00,0.00,50.00,0.00
,,,,,14:49:18,47.46,0.00,0.00,16.34,1.11
,,,,,14:49:20,35.38,297.91,0.00,0.00,1.31
,,,,,14:49:29,20.60,450.00,100.00,0.00,1.01
,,,,,14:49:32,29.51,317.61,49.16,50.00,0.66
,,,,,14:49:40,33.57,0.00,100.00,4.04,3.00
,,,,,14:49:44,26.24,80.52,67.97,35.95,1.10
,,,,,14:49:48,21.33,0.00,29.63,12.36,0.00
,,,,,14:49:53,0.00,65.78,100.00,50.00,3.00
,,,,,14:49:59,15.33,432.61,100.00,37.97,0.39
,,,,,14:50:02,26.69,291.33,100.00,11.95,3.00
,,,,,14:50:06,39.00,81.11,21.90,34.44,0.16
,,,,,14:50:12,0.00,0.00,100.00,0.00,0.12
,,,,,14:50:17,0.00,334.79,0.00,0.00,1.00
,,,,,14:50:21,25.82,175.55,0.00,50.00,0.90
,,,,,14:50:25,0.00,382.99,11.99,10.84,1.25
,,,,,14:50:26,0.00,382.99,11.99,10.84,1.25
,,,,,14:50:29,16.42,0.00,100.00,20.54,3.00
,,,,,14:50:33,50.00,310.93,0.00,13.84,1.98
,,,,,14:50:37,1.24,306.46,100.00,0.00,3.00
,,,,,14:50:40,50.00,450.00,100.00,6.20,3.00
,,,,,14:50:43,43.72,450.00,0.00,50.00,1.43
,,,,,14:50:46,0.03,398.04,0.00,50.00,1.43
,,,,,14:50:47,0.03,398.04,0.00,50.00,1.43
,,,,,14:51:02,49.16,82.93,100.00,5.09,0.00
,,,,,14:51:06,49.16,82.93,100.00,5.09,0.00
,,,,,14:51:11,44.06,269.49,100.00,50.00,3.00
,,,,,14:51:12,44.06,269.49,100.00,50.00,3.00
,,,,,14:51:20,0.00,342.21,0.00,50.00,1.65
,,,,,14:51:22,0.00,342.21,0.00,50.00,1.65
,,,,,14:51:26,30.57,450.00,34.86,50.00,0.00
,,,,,14:51:33,17.85,68.36,100.00,0.00,2.25
,,,,,14:51:46,19.64,364.68,0.00,34.26,1.02
,,,,,14:51:48,19.64,364.68,0.00,34.26,1.02
,,,,,14:51:54,50.00,203.58,0.00,0.00,3.00
,,,,,14:51:58,16.54,68.21,0.00,7.11,0.11
,,,,,14:52:04,50.00,210.67,46.11,37.94,1.40
,,,,,14:52:11,12.23,318.58,30.05,28.61,3.00
,,,,,14:52:14,0.00,0.00,100.00,22.62,3.00
,,,,,14:52:17,0.00,450.00,100.00,22.62,0.00
,,,,,14:52:22,28.16,0.00,76.85,0.00,0.31
,,,,,14:52:24,28.16,0.00,76.85,0.00,0.31
,,,,,14:52:26,50.00,159.72,3.91,6.45,0.53
,,,,,14:52:40,10.03,400.34,0.00,32.03,3.00
,,,,,14:53:41,27.65,450.00,100.00,5.85,0.00
,,,,,14:54:41,5.63,327.92,66.43,0.64,0.00
,,,,,14:55:40,50.00,104.52,100.00,42.18,2.56
,,,,,14:56:41,50.00,212.42,100.00,4.86,0.07
,,,,,14:57:40,0.00,450.00,63.43,30.29,3.00
,,,,,14:58:40,27.29,441.23,261.22,10.71,0.00
,,,,,14:59:40,15.78,304.38,331.60,11.63,0.00
,,,,,15:00:40,15.57,70.61,0.00,50.00,0.20
,,,,,15:01:41,0.00,450.00,0.00,19.61,0.00
,,,,,15:02:41,50.00,415.10,0.00,50.00,3.00
,,,,,15:03:42,50.00,0.00,100.00,50.00,0.00
,,,,,15:04:40,0.00,450.00,100.00,27.54,1.16
,,,,,15:05:17,50.00,0.00,100.00,0.00,0.43
,,,,,15:05:21,47.58,0.00,100.00,50.00,0.63
,,,,,15:05:30,5.44,0.00,100.00,50.00,0.00
,,,,,15:05:33,50.00,450.00,53.54,16.78,1.84
,,,,,15:05:38,17.84,0.00,28.99,0.00,2.09
,,,,,15:05:44,35.33,218.28,0.00,0.00,3.00
,,,,,15:05:50,17.04,315.24,0.00,25.57,1.77
,,,,,15:06:01,0.00,38.94,100.00,0.00,0.70
,,,,,15:06:06,43.27,450.00,38.37,15.50,0.24
,,,,,15:06:11,21.79,165.53,76.02,38.89,1.03
,,,,,15:06:17,50.00,351.26,100.00,0.00,0.00
,,,,,15:06:24,46.64,0.00,100.00,10.52,0.00
,,,,,15:06:31,43.38,447.29,100.00,30.33,0.00
,,,,,15:06:34,1.55,0.00,0.00,0.00,1.81
,,,,,15:06:39,50.00,62.25,6.89,4.74,0.00
,,,,,15:06:43,0.00,450.00,100.00,0.00,0.00
,,,,,15:06:47,38.78,193.24,0.00,7.22,0.00
,,,,,15:06:49,50.00,450.00,0.00,0.00,0.00
,,,,,15:06:50,50.00,450.00,0.00,0.00,0.00
,,,,,15:06:51,15.52,349.79,0.00,0.00,0.00
,,,,,15:06:54,0.00,231.85,55.65,50.00,3.00
,,,,,15:06:57,10.94,0.00,100.00,50.00,3.00
,,,,,15:07:40,0.00,0.00,100.00,33.93,3.00
,,,,,15:08:41,31.10,0.00,100.00,8.95,2.45
,,,,,15:08:59,40.55,438.90,100.00,36.60,3.00
,,,,,15:09:14,50.00,0.00,100.00,0.00,0.60
,,,,,15:09:19,0.00,450.00,100.00,50.00,0.89
,,,,,15:09:24,0.00,450.00,100.00,50.00,0.89
,,,,,15:09:35,28.82,450.00,100.00,50.00,0.51
,,,,,15:09:38,28.82,450.00,100.00,50.00,0.51
,,,,,15:09:39,28.82,450.00,100.00,50.00,0.51
,,,,,15:09:50,50.00,311.13,0.00,0.00,3.00
,,,,,15:09:55,50.00,311.13,0.00,0.00,3.00
,,,,,15:10:00,23.72,0.00,17.62,8.16,3.00
,,,,,15:10:02,23.72,0.00,17.62,8.16,3.00
,,,,,15:10:11,43.42,450.00,100.00,42.28,0.00
,,,,,15:10:12,43.42,450.00,100.00,42.28,0.00
,,,,,15:10:17,44.40,0.00,100.00,0.00,3.00
,,,,,15:10:23,50.00,206.25,74.67,50.00,3.00
,,,,,15:10:32,50.00,320.30,100.00,50.00,0.00
,,,,,15:10:39,0.00,0.00,100.00,45.29,0.00
,,,,,15:10:43,10.98,71.08,0.00,4.22,3.00
,,,,,15:10:48,0.54,45.81,100.00,50.00,3.00
,,,,,15:10:54,41.10,450.00,0.00,33.90,2.35
,,,,,15:10:57,50.00,350.84,0.00,50.00,3.00
,,,,,15:11:04,15.61,136.76,100.00,26.69,1.69
,,,,,15:11:05,15.61,136.76,100.00,26.69,1.69
,,,,,15:11:09,50.00,174.68,80.62,10.94,3.00
,,,,,15:11:11,21.01,38.10,100.00,0.00,0.62
,,,,,15:11:14,12.95,450.00,71.52,38.76,0.00
,,,,,15:11:41,21.69,357.12,100.00,50.00,3.00
,,,,,15:12:41,8.58,114.35,0.00,50.00,3.00
,,,,,15:13:42,50.00,0.00,100.00,50.00,2.06
,,,,,15:14:41,0.00,450.00,0.00,20.02,1.12
,,,,,15:15:41,14.65,0.00,89.75,33.08,3.00
,,,,,15:16:41,14.76,309.12,98.64,0.00,3.00
,,,,,15:17:44,50.00,120.84,72.85,0.08,2.20
,,,,,15:18:41,37.82,450.00,0.00,50.00,3.00
,,,,,15:19:41,50.00,0.00,0.00,0.00,0.00
,,,,,15:20:41,50.00,105.26,100.00,50.00,0.00
,,,,,15:21:42,0.00,0.00,100.00,11.18,3.00
,,,,,15:22:41,18.33,55.98,0.00,2.13,3.00
,,,,,15:23:41,0.00,114.78,63.49,13.18,0.66
,,,,,15:24:43,0.00,338.09,42.07,0.00,3.00
,,,,,15:24:59,0.00,334.61,0.00,27.05,3.00
,,,,,15:25:16,50.00,168.99,0.00,41.37,0.00
,,,,,15:25:26,27.83,284.48,31.85,26.17,3.00
,,,,,15:25:34,0.00,338.33,0.00,32.58,1.64
,,,,,15:25:38,48.17,450.00,0.00,0.00,3.00
,,,,,15:25:39,48.17,450.00,0.00,0.00,3.00
,,,,,15:25:46,50.00,432.62,100.00,0.00,3.00
,,,,,15:25:50,17.14,450.00,1.92,39.44,2.21
,,,,,15:25:53,17.14,450.00,1.92,39.44,2.21
,,,,,15:26:00,17.14,450.00,1.92,39.44,0.00
,,,,,15:26:06,0.00,395.78,62.69,39.60,2.12
,,,,,15:26:20,17.65,244.74,100.00,50.00,0.00
,,,,,15:26:26,0.00,232.44,58.08,0.00,0.00
,,,,,15:26:32,6.50,0.00,14.68,50.00,3.00
,,,,,15:26:41,49.68,448.21,50.27,0.00,2.42
,,,,,15:26:42,49.68,448.21,50.27,0.00,2.42
,,,,,15:26:51,8.36,108.52,0.00,0.00,2.40
